Method, Min_Attack, Max_Attack, Min_Lift, Max_Lift, Angle_1, Angle_2, Angle_3, Time, Hits, Misses, Fail_0, Fail_1, Fail_2, Fail_3, Fail_4, Avg_Error, Std_Dev, Min_Error, Max_Error, Rng_0%, Rng_1%, Rng_2%, Rng_3%, Rng_4%, Rng_5%, Rng_6%, Rng_7%, Rng_8%, Rng_9%, Rng_10%, Rng_11%, Rng_12%, Rng_13%, Rng_14%, Rng_15%

LT, 0, 30, 10, 20, 0, 80, 230, 1.994148, 1000000, 0, 0, 0, 0, 0, 0, 2.34411e-09, 1.19547e-06, 8.84047e-17, 0.00106804, 0.000000, 0.000000, 0.000100, 0.000300, 0.000900, 0.003000, 0.011700, 0.033500,  0.112400, 0.395700, 1.412600, 5.968600, 18.485500, 58.896300, 14.585700, 0.093700
EC, 0, 30, 10, 20, 0, 80, 230, 3.337628, 1000000, 0, 0, 0, 0, 0, 0, 2.42854e-12, 1.00023e-09, 0, 7.5936e-07, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000400, 0.001000,  0.003500, 0.020000, 0.127700, 0.983600, 5.662900, 54.277500, 36.990000, 1.933400

LT, 0, 30, 10, 20, 0, 70, 300, 1.971363, 1000000, 0, 0, 0, 0, 0, 0, 6.90342e-08, 3.85863e-05, 1.76082e-16, 0.0247066, 0.000000, 0.000300, 0.000000, 0.000500, 0.002200, 0.004800, 0.016300, 0.048100,  0.172400, 0.607600, 2.530300, 6.200000, 30.128200, 53.378800, 6.881800, 0.028700
EC, 0, 30, 10, 20, 0, 70, 300, 3.390667, 999999, 1, 0, 0, 1, 0, 0, 7.35038e-13, 1.90055e-10, 0, 1.14227e-07, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000200, 0.001000,  0.002800, 0.015700, 0.121700, 0.908800, 6.082700, 67.825300, 23.761300, 1.280400

LT, 0, 30, 10, 20, 0, 33, 65, 1.872763, 1000000, 0, 0, 0, 0, 0, 0, 3.58372e-08, 1.3499e-05, 8.9834e-16, 0.00743558, 0.000000, 0.000000, 0.000800, 0.000600, 0.001900, 0.005500, 0.018300, 0.054600,  0.199700, 0.804800, 4.247000, 38.115600, 49.893300, 6.590900, 0.066900, 0.000100
EC, 0, 30, 10, 20, 0, 33, 65, 3.375178, 1000000, 0, 0, 0, 0, 0, 0, 1.33213e-10, 9.76385e-08, 4.70227e-18, 8.78777e-05, 0.000000, 0.000000, 0.000000, 0.000000, 0.000200, 0.000100, 0.000100, 0.001100,  0.004500, 0.029700, 0.247700, 1.976900, 34.751700, 56.881200, 5.993100, 0.113700

LT, 0, 30, 10, 20, 0, 30, 200, 1.992411, 1000000, 0, 0, 0, 0, 0, 0, 6.21832e-10, 2.97901e-07, 1.67776e-16, 0.000268194, 0.000000, 0.000000, 0.000000, 0.000100, 0.000700, 0.001400, 0.003500, 0.015400,  0.051400, 0.232200, 1.222400, 8.060600, 46.767800, 40.174600, 3.456800, 0.013100
EC, 0, 30, 10, 20, 0, 30, 200, 3.333974, 1000000, 0, 0, 0, 0, 0, 0, 8.2932e-13, 5.70905e-10, 9.00044e-18, 5.69264e-07, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000100, 0.000200,  0.003600, 0.010000, 0.069300, 0.552700, 19.672500, 69.760000, 9.660200, 0.271400

LT, 0, 30, 10, 20, 0, 130, 250, 1.989534, 1000000, 0, 0, 0, 0, 0, 0, 6.26839e-08, 3.0274e-05, 0, 0.0191368, 0.000000, 0.000300, 0.000200, 0.000600, 0.001800, 0.005800, 0.017800, 0.057600,  0.188600, 0.685900, 2.698400, 6.182900, 13.290000, 60.472200, 16.298700, 0.099200
EC, 0, 30, 10, 20, 0, 130, 250, 3.373948, 1000000, 0, 0, 0, 0, 0, 0, 1.7551e-12, 7.28898e-10, 0, 5.31998e-07, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000500, 0.000200,  0.002900, 0.019500, 0.138900, 1.065400, 4.840400, 47.509500, 43.430800, 2.991900

LT, 0, 30, 10, 20, 0, 24, 55, 1.844976, 1000000, 0, 0, 0, 0, 0, 0, 1.88062e-08, 7.94212e-06, 4.12764e-16, 0.00508604, 0.000000, 0.000000, 0.000500, 0.000200, 0.001800, 0.005700, 0.017200, 0.059000,  0.215000, 1.043300, 8.196900, 51.233100, 35.575400, 3.621800, 0.030000, 0.000100
EC, 0, 30, 10, 20, 0, 24, 55, 3.423220, 1000000, 0, 0, 0, 0, 0, 0, 1.08138e-12, 2.59956e-10, 8.10311e-17, 1.83214e-07, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000200, 0.001200,  0.005500, 0.033700, 0.245100, 1.889700, 47.638900, 45.684500, 4.373300, 0.127900

